Gene	Triplication-1.RNA.counts.txt	Triplication-2.RNA.counts.txt	Triplication-3.RNA.counts.txt	Isogenic-1.RNA.counts.txt	Isogenic-2.RNA.counts.txt	Isogenic-3.RNA.counts.txt
ABCC6	42.22015182	46.0741713	40.45341692	68.14687576	65.37068995	45.94038674
ABCC6P1	14.58514335	6.202292291	11.55811912	14.06205373	1.894802607	5.742548343
ABCC6P2	8.444030363	9.746459314	8.668589339	22.71562525	8.526611732	8.613822514
ABCC8	211.1007591	295.9379464	284.137095	57.32991136	61.58108473	64.60366886
ABCC9	216.4742329	78.85771627	98.24401251	378.5937542	579.8095978	111.9796927
ABCD1	363.0933056	271.1287773	310.142863	518.1325951	516.3337105	548.4133667
ABCD1P2	0	0	0	0	0	0
ABCD1P3	0.767639124	0	0	0	0	0
ABCD1P4	0	0	0	0	0.947401304	0
ABCD1P5	0	0	0	1.081696441	0	0
ABCD2	24.56445197	26.58125267	60.68012538	12.98035729	9.474013036	7.178185429
ABCD3	867.43221	881.611547	893.8278785	908.6250102	841.2923576	874.3029852
ABCD4	691.6428507	847.0559185	731.0510343	793.9651875	718.1301881	770.937115
ABCE1	1090.815195	691.1125695	700.2293833	910.7884031	1085.721894	885.7880819
ABCF1	1706.461772	1490.322233	1413.943239	1671.221001	2032.175796	1771.576164
ABCF2	206.4949243	185.182727	199.3775548	155.7642875	155.3738138	101.9302331
ABCF2-H2BK1	0	0	0	0	0	0
ABCF2P1	2.302917372	4.430208779	3.852706373	4.326785763	5.684407821	8.613822514
ABCF2P2	0	0	0	0	0	0
ABCF3	875.1086013	869.2069624	907.3123508	857.7852775	966.3493297	890.0949931
ABCG1	1721.046916	1352.099719	1754.907753	600.3415246	822.3443315	643.1654144
ABCG2	62.17876904	56.70667237	30.82165098	216.3392881	98.52973557	77.52440263
ABCG4	229.5240981	238.3452323	307.2533332	62.73839356	99.47713688	90.4451364
ABCG5	2.302917372	0.886041756	5.77905956	3.245089322	0.947401304	2.871274171
ABCG8	19.1909781	12.40458458	14.4476489	7.571875085	9.474013036	5.742548343
ABHD1	10.74694773	14.17666809	13.48447231	2.163392881	8.526611732	5.742548343
ABHD10	931.9138964	953.3809292	961.2502401	695.5308114	692.5503529	746.5312846
ABHD11	112.8429512	161.2595996	141.5869592	131.9669658	135.4783864	90.4451364
ABHD12	1335.692076	1374.250763	1471.733834	1176.885727	1043.088835	1214.548975
ABHD12B	17.65569985	8.860417558	9.631765933	21.63392881	30.31684171	20.0989192
ABHD13	289.3999497	318.0889903	282.2107418	328.835718	333.4852589	318.711433
ABHD14A	34.54376058	32.78354496	45.26929988	33.53258966	31.26424302	37.32656423
ABHD14A-ACY1	0.767639124	0.886041756	1.926353187	1.081696441	0	0
ABHD14B	267.1384151	237.4591906	244.6468547	375.3486649	402.645554	387.6220131
ABHD15	163.5071334	167.4618918	183.9667293	184.9700914	245.3769376	234.008845
ABHD15-AS1	0.767639124	0	0.963176593	0	1.894802607	0
ABHD16A	25.33209109	46.0741713	34.67435736	35.69598254	25.5798352	25.84146754
ABHD16B	0	0	0	0	0	0
ABHD17A	1659.635786	1748.160384	1939.837659	1984.912969	1908.066225	1945.288251
ABHD17AP1	23.79681284	21.26500214	26.96894461	32.45089322	13.26361825	14.35637086
ABHD17AP3	0	0	0	0	0	0
ABHD17AP4	3.070556496	4.430208779	5.77905956	6.490178644	4.737006518	4.306911257
ABHD17AP5	14.58514335	18.60687687	13.48447231	17.30714305	16.10582216	17.22764503
ABHD17AP6	3.070556496	6.202292291	6.742236153	5.408482203	6.631809125	8.613822514
ABHD17AP7	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0
ABHD17B	426.0397138	374.7956627	347.7067502	271.5058066	391.2767384	215.3455629
ABHD17C	284.794115	333.1517002	450.7666456	229.3196454	191.3750633	256.9790383
ABHD18	233.3622937	234.8010653	205.1566144	300.7116105	274.746378	244.0583046
ABHD2	1369.468197	1403.490141	1766.465872	1341.303586	1494.999257	1514.597125
ABHD3	103.6312817	138.2225139	178.1876698	166.5812519	120.3199656	132.0786119
ABHD4	862.8263753	969.3296808	1130.76932	1321.833051	1226.884688	1363.855231
ABHD5	436.7866615	419.9837922	460.3984116	329.9174144	361.907298	271.3354092
ABHD6	260.9973021	415.5535835	403.5709926	188.2151807	169.5848333	219.6524741
